"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"110-1E.ACF",-2.75293161846346,14.3382299066647,4.87373568846627,-3.22789380451083,4.05448607477867,-2.52620872223239,6.31695704537067,-1.53907350156683,0.314750790349986,-2.34151196054525,0.335292083658485,0.844814500309521,-1.30007975541412,-2.1785992109252,0.485224745856173,0.258588311305435,0.876203816275915,-0.0558385352468278,-0.781426559482085,-0.0507560655888249,1.31490051098182,0.629666405038516,0.95792762838031,-0.49434875461183,-0.100709557937498,-0.851154044652149,-0.0599953475189948,-0.425674601494028,0.474415867831567,2.45976838728065,0.742042498725281,0.220343203277801,-2.20522966651686,-0.92930232637623,-0.451590994499713,2.59419028127236,1.80213894257572,-2.9782313639389,2.98593124619709,1.5556132770822e-14
"173-1E.ACF",-15.7063577035241,6.87655867164175,-0.82105325350378,4.89183782086435,-5.82494058982458,-1.30190486303652,2.57402956285325,4.47116842005916,-2.01460544903603,-1.03914992064445,2.29600499096394,-3.19600615578966,0.0343533211631313,-0.387575299876817,-1.72853485092845,1.98577102264853,-1.45143537068548,4.09333843388238,0.809410258865541,-4.70540119832065,-2.22061308064096,2.68920319361877,1.1625448906028,1.0670465474982,2.64680875997626,-1.25034111515816,1.9210246854923,1.06222547304998,1.11612755625426,2.01056334708297,-2.49420076656667,0.884919457163296,2.39671257366534,0.834041086741513,0.14676119008701,0.537997035968338,-0.428816708041652,0.288883706122915,0.370948397945004,1.12496817417096e-14
"187-1E.ACF",-17.3377074649113,-10.5660123159114,2.1607562646109,-5.79616439532832,4.70479257791933,9.80215399334991,1.25523608085444,8.17854754582341,7.2236135900275,-2.1225577468096,5.97702345713823,1.35522971633326,0.713214862250168,-2.97876936553729,-0.623440952826333,-1.06211609461773,0.0592898573955301,-1.49951489818869,0.961341944355889,0.252929096646491,-1.4770979183157,-1.17866828071759,-0.648669314695155,0.701425084105072,-0.0118767649888295,-0.259717366732394,-0.452849234211004,0.782212590287262,0.0223302654414427,0.282988920120323,0.443063606308303,0.0260318314730589,0.0982541469509996,1.02042493649589,-0.161832298602466,0.385871291943526,-0.101026851387115,0.0249827360090463,-0.166470552911484,9.19750386962903e-15
"130-1E.ACF",8.23540644197876,-9.94157741250074,-7.64806960859183,0.0187305011630425,-0.382775159949843,-2.77194137797672,2.75295169909118,-2.48112016464958,1.68300176075234,-5.99736548198145,-1.36043076217278,-2.1944069966285,3.02300326085556,-2.1106617672104,-5.5131769878163,0.155909411975484,-2.69152530365409,0.0886081497317164,0.83455597176775,3.45689416004246,2.02255153062677,4.06033584994881,-1.61589947775452,1.47420152009967,0.513491224007039,0.166788996581478,1.19778745722155,2.88392106745175,0.335202342323507,-1.10024818419925,1.20183428018593,1.54504099185252,-1.07011234060101,-0.616268654857343,-1.38204679679364,0.06079510673122,0.361143999612856,0.505712835601179,-0.156251373286352,1.49845413854877e-14
"136-1E.ACF",-14.829752196113,-8.35047672139129,-6.14317533401204,6.92651966485329,1.45548937288985,-2.1655716358937,-3.38690184895413,1.50743382082414,0.8815963857646,-5.20588864747534,-1.85605922713184,-1.19322213575167,-2.7859662837945,-0.0282532886333123,8.53505900448432,-0.326475547893041,4.56855165869717,0.427859500812888,-3.06546960206575,0.164079661797755,1.1875057020724,0.252841926123531,0.147053094189061,0.324945519538168,1.22508867838274,-0.48227657406393,1.30692604510195,2.03971771214982,0.744385237722465,-1.42758532817204,0.739643661745435,-0.145185576194969,-0.215149714135048,-0.855877415056743,0.328481169682207,0.883915973853813,-0.0111635304547366,-0.0400440873393109,-0.234031174182354,1.52794443764037e-14
"151-1E.ACF",-12.0853154611841,-13.8546212494311,0.685887546201622,0.800959638503155,5.51996355294328,-4.30594168645156,-1.33269546389226,-6.2365449340887,-0.732335279355798,1.42019064466914,9.96596473879454,-1.07527505230541,0.794807483236677,4.61894094906602,-0.820271038399675,-0.891023071671625,-2.30159575316326,-0.435921729114704,-2.74868603356661,-0.377563287175597,1.91993166627068,0.858746401730691,1.31263457612614,-1.89105429098381,-0.596476716338393,-0.407638234239983,1.2661478618648,-2.12536666521926,-0.121972223838256,-0.126462566483679,-0.937711007480131,-0.0511744670185794,0.735166551895102,-1.15991040389601,0.089460830103628,0.254298017326049,-0.148627777989131,0.434423632377798,0.48346436871673,1.44467771079348e-14
"154-1E.ACF",-4.63581464918303,6.32134882639307,-2.71310349313541,3.26643348107953,5.13016725498586,-1.15815427110518,2.05527474835801,-0.139565299524403,-0.134998442079098,3.56434017382626,-0.565021358728283,-1.77669857032302,5.62119236807881,1.02745490751402,1.64807689532554,-2.25163310570339,-1.47783241836016,1.46312353340789,1.92074748639308,-0.845676965926638,-5.27283969784313,0.455164197810344,0.0846504803062248,-2.94569108884943,-1.69408148898672,0.308907375208541,0.102044248531412,2.7652791616902,2.12946547724342,-0.440159835577466,1.11360074359664,-2.40211973840877,-3.31647155710031,-0.826339597173349,0.607013650271004,-0.38122390928601,-0.604748211810182,0.721116285026962,-0.177397780304694,1.60375185354056e-14
"178-1E.ACF",-6.21904738796876,0.0546940530766789,4.26141442901072,3.26201672462747,4.09570243791924,-2.351265464676,-0.947625787683825,0.400288612755027,2.82516466369736,2.26959564604677,-3.45765961089535,-1.06986099432621,-0.737649498508829,-4.25925937426952,0.294819231517548,0.310700341010662,-4.25115445582847,-1.65923144945035,-1.33881123351856,0.005748914230826,0.178821966302468,0.564263726338479,-0.469075902388676,-1.46284930931042,5.62929928564913,4.49607663903652,-2.46626570531659,-0.802746702298301,-1.2136335929488,-1.41888519274187,-1.97513054495576,0.466604417741729,0.0163655066841682,-0.824682668053956,1.66200976539669,-0.959451485463292,0.140282449649057,0.215956316681289,0.838689833972441,1.483156045895e-14
"183-1E.ACF",-4.73217842280585,1.95550251866296,3.60850701524851,-0.61500288443802,1.53679891070113,-0.46212262844096,-1.85369852825781,-2.31304624948354,0.392257540499815,1.51319172545103,-0.560031361575745,1.63581386353045,3.00072496188732,2.64763268995343,-1.36513610857779,3.63934695097323,4.36393911607736,-0.744019103476393,-2.27436728751488,-0.883353387529201,-0.475624186667957,1.01277173824082,-4.92414394298377,-1.76422129277454,2.3808557913006,0.696593367460245,1.08083991262587,2.17710745642197,-2.87701857270055,2.96452244131406,2.40168557947319,-1.4684874766374,1.42123036321583,1.43602562368953,-1.17354728871138,-1.51714758653136,0.877394155836625,-0.238227431068176,-0.14397960324089,1.40820514971107e-14
"240-2E.ACF",-2.46997591298033,2.76169471816184,-5.02592047544115,3.86865460296701,5.03056608160665,3.89881196280542,-0.352196141854944,0.0998115013855551,-6.7692879251767,0.248927478405205,0.330208804640575,1.69728303133598,-1.58411928400396,-2.14325194939847,-1.35126096352021,-2.46728576244045,1.95741682785033,0.623883792702533,-2.88881755918676,0.438462015433542,-3.5681135782401,1.15281902417782,-2.80526493869047,2.99401221517982,-0.850686661072187,1.11457156904229,1.27840113631827,-3.55003195116777,-1.48819151587063,-0.46275833469043,-1.11772278806479,2.13412740613275,-2.18514163868536,0.953244258952324,-1.38099165628201,-0.956497017321621,-1.1337382953006,-0.113113566908574,0.452287378424959,1.65562008547226e-14
